"会話：カーミラ" -> "Conversation: Carmilla"
"情報" -> "information"
"質問" -> "A question"
"要求" -> "request"
"贈与" -> "Gift"
"情報" -> "information"
"【カーミラ】" -> "【Carmilla】"
"クィーンの右手とは、私の事です！" -> "Queen's right hand is me!"
"なお、エリザベートはクィーンの左手です。" -> "Elisabeth is Queen's left hand."
"【カーミラ】" -> "【Carmilla】"
"女王様のためなら、なんでもやりますよ！" -> "For the Queen, I will do whatever!"
"【カーミラ】" -> "【Carmilla】"
"女王様に楯突く敵は、私の剣のサビにしますよ～！" -> "The enemies who fight against the Queen make it a chore for my sword ~!"
"【カーミラ】" -> "【Carmilla】"
"コウモリとは友達です。" -> "Bats are friends."
"恋の相談もしますよ～！" -> "I will also discuss love!"
"【カーミラ】" -> "【Carmilla】"
"サバサのお姫様になりたいな～♪" -> "I want to be Sabbatha's princess ~ ♪"
"【カーミラ】" -> "【Carmilla】"
"エリザベートと、よく買い物に行きますよ～♪" -> "With Elisabeth, I often go shopping ~ ♪"
"【カーミラ】" -> "【Carmilla】"
"女王様は、とっても高貴なお方です！" -> "The Queen is very noble!"
"【カーミラ】" -> "【Carmilla】"
"おいしそう……" -> "looks delicious……"
"あなたの血、じゅるじゅる吸っちゃっていいですよね～？" -> "You can suck in your blood, do not you think?"
"【カーミラ】" -> "【Carmilla】"
"サバサを支配したら、コーヒーをいっぱい飲みたいですね。" -> "If you ruled Sabbatha, I would like to have a cup of coffee."
"【カーミラ】" -> "【Carmilla】"
"炎はやめてくださいよー！" -> "Please stop the flame!"
"質問" -> "A question"
"【カーミラ】" -> "【Carmilla】"
"コウモリは好きですか……？" -> "Do you like bats ......?"
"好き" -> "Like"
"嫌い" -> "Hate"
"種類による" -> "Depends on type"
"好き" -> "Like"
"【カーミラ】" -> "【Carmilla】"
"うふふっ、友達になれますね♪" -> "Uhhuh, you can be friends ♪"
"嫌い" -> "Hate"
"【カーミラ】" -> "【Carmilla】"
"ひどい……" -> "Terrible……"
"種類による" -> "Depends on type"
"【カーミラ】" -> "【Carmilla】"
"それもそうですね。" -> "That's right."
"あなた、コウモリに詳しそうですね♪" -> "You seemed to be detailed to the bat ♪"
"【カーミラ】" -> "【Carmilla】"
"男と女、どっちが好きですか～？" -> "Which do you like, man and woman?"
"女" -> "woman"
"男" -> "Man"
"どっちも" -> "Which also"
"女" -> "woman"
"【カーミラ】" -> "【Carmilla】"
"ノーマルなんですね！" -> "It is normal!"
"男" -> "Man"
"【カーミラ】" -> "【Carmilla】"
"アブノーマルなんですね♪" -> "It is abnormal ♪"
"どっちも" -> "Which also"
"【カーミラ】" -> "【Carmilla】"
"なんと、両方ですか！" -> "How, how are you!"
"私も両方イケちゃうんですよ♪" -> "I and I will also be cool I ♪"
"【カーミラ】" -> "【Carmilla】"
"エリザベートからは、のんびりしすぎと言われます……" -> "From Elisabeth, it is said to be too relaxing ... ..."
"でも、その方がいいですよね？" -> "But that is better, is not it?"
"いい" -> "Good"
"ダメだ" -> "It is useless."
"どうでもいい" -> "Does not matter"
"いい" -> "Good"
"【カーミラ】" -> "【Carmilla】"
"そうですよね、のんびりしましょうよ～♪" -> "That's right, Let's take it easy ~ ♪"
"ダメだ" -> "It is useless."
"【カーミラ】" -> "【Carmilla】"
"すみません……" -> "Excuse me……"
"ごめんなさい……" -> "I'm sorry……"
"どうでもいい" -> "Does not matter"
"【カーミラ】" -> "【Carmilla】"
"そうですね……" -> "I agree……"
"【カーミラ】" -> "【Carmilla】"
